Sprint,Phase,Pillar,Task_ID,Requirement,Task_Name,Layer,Description,Tables,Depends_On,Estimate_Days,Priority,Acceptance_Criteria
O04,2,Onyx Assess,ASS-01b,ASS-01,Timed assessment engine,Backend+Frontend,"Scheduled windows, per-attempt timers, sections, randomised selection and shuffling, and server-authoritative time.",assessments;assessment_attempts,ASS-01a,4,P0,"A client clock change cannot extend an attempt"
O04,2,Onyx Assess,ASS-01c,ASS-01,Attempt autosave and resume,Backend+Frontend,"Answers persist as they are given so a dropped connection or refresh resumes the attempt where it left off.",assessment_answers,ASS-01b,3,P0,"Killing the tab mid-attempt and returning resumes with answers intact and the timer correct"
O04,2,Onyx Assess,ASS-02a,ASS-02,Proctoring capture,Frontend,"Camera and screen capture with consent, plus tab-switch, focus-loss and paste detection.",proctor_events,ASS-01b,4,P0,"Every monitored event produces a reviewable record with a timestamp"
O04,2,Onyx Assess,ASS-02b,ASS-02,Integrity review,Backend+Frontend,"Flag scoring, an invigilator review queue and a per-attempt integrity timeline.",proctor_events;assessment_attempts,ASS-02a,3,P0,"An invigilator can accept or dismiss each flag, and the decision is audited"
O04,2,Onyx Assess,ASS-03a,ASS-03,Auto and rubric grading,Backend+Frontend,"Objective auto-scoring plus rubric-based subjective grading with anonymised marking.",assessment_grades,ASS-01b,3,P0,"Marks are reproducible; the grader cannot see the candidate's name when anonymised"
O04,2,Onyx Assess,ASS-03b,ASS-03,Moderation workflow,Backend+Frontend,"Second marking, moderation and a publish step that freezes results.",assessment_grades,ASS-03a,3,P0,"Results are invisible to learners until published, and publication is audited"
O04,2,Onyx Assess,ASS-04a,ASS-04,Results and item analysis,Backend+Frontend,"Score reports, difficulty and discrimination per item, and cohort benchmarking.",assessment_grades,ASS-03b,3,P0,"Item statistics match a hand calculation on a seeded cohort"
O04,2,Onyx Assess,ASS-04b,ASS-04,Exports,Backend,"CSV and PDF exports of results for faculty and institutional stakeholders.",-,ASS-04a,2,P1,"An export of a large cohort completes without timing out"
O05,3,Onyx Career,CAR-03a,CAR-03,Skill certificates,Backend+Frontend,"Verifiable certificates with unique credential IDs and a public verification page. Reuses the port's proven certificate engine.",certificates,ASS-04a,2,P0,"A credential verifies publicly and exposes no personal data beyond the holder's name"
O05,3,Onyx Career,CAR-05a,CAR-05,Skills passport,Backend+Frontend,"Skills derived from completed courses, assessments and Code Lab evidence, each traceable to what earned it.",skills;learner_skills,CAR-03a,3,P0,"Every skill on a profile links to the evidence that produced it"
O05,3,Onyx Career,CAR-05b,CAR-05,Readiness score,Backend+Frontend,"A published, explainable formula over attendance, assessment, practice and projects, with the breakdown shown to the learner.",readiness_scores,CAR-05a,3,P0,"The learner can see exactly why their score is what it is"
O05,3,Onyx Career,CAR-04a,CAR-04,Employer accounts,Backend+Frontend,"Employer records scoped to the institution, with contacts and an invitation flow.",employers,F-04,2,P0,"An employer sees only what the institution has shared with them"
O05,3,Onyx Career,CAR-04b,CAR-04,Job posts and applications,Backend+Frontend,"Job posts with eligibility rules, learner applications, shortlisting and status tracking.",jobs;job_applications,CAR-04a,4,P0,"An ineligible learner cannot apply; eligibility is computed, not typed"
O05,3,Onyx Career,CAR-04c,CAR-04,Placement drives,Backend+Frontend,"Drive scheduling, rounds, attendance and offer recording.",drives;drive_rounds,CAR-04b,3,P0,"A drive's rounds and outcomes reconcile with the offers recorded"
O05,3,Onyx Career,CAR-01a,CAR-01,Hackathons and contests,Backend+Frontend,"Timed events with team formation, live leaderboards and structured judging, built on the Code Lab evaluator.",contests;contest_teams;contest_submissions,LAB-03a,4,P1,"A leaderboard is correct and stable under concurrent submissions"
O05,3,Onyx Career,CAR-02a,CAR-02,Mock interviews,Backend+Frontend,"Scheduling, structured feedback forms and optional recording, reusing the port's booking and Jitsi session model.",mock_interviews,CAR-05a,3,P1,"A learner cannot see another learner's feedback"
O06,3,Onyx Learn,LRN-05a,LRN-05,Progress dashboard and nudges,Frontend+Backend,"Personalised progress, streaks and next-best-action nudges driven by real signals rather than a static list.",-,LRN-02a,3,P1,"The nudge changes when the underlying signal changes"
O06,3,Onyx Learn,LRN-06a,LRN-06,Threaded course Q&A,Backend+Frontend,"Per-course threaded discussion with mentions and resolution marking. Reuses the port's forum model.",discussions,LRN-01b,3,P1,"A resolved thread is visibly resolved and still searchable"
O06,3,Onyx Learn,LRN-06b,LRN-06,Mentor escalation and tickets,Backend+Frontend,"Escalation from a thread to a mentor, and a support ticket path with SLA visibility for unresolved questions.",tickets,LRN-06a,3,P1,"An escalated question reaches a named owner and its age is visible"
O07,4,Onyx Campus,CMP-01a,CMP-01,Academic administration,Backend+Frontend,"Programs, batches, faculty allocation and the institutional console that ties them together.",programs;batches;faculty_allocations,F-04,3,P0,"An institution can run a term without touching the database"
O07,4,Onyx Campus,CMP-01b,CMP-01,Timetables,Backend+Frontend,"Timetable construction with room and faculty clash detection, published to learner and faculty views.",timetables;rooms,CMP-01a,4,P0,"A double-booked room or faculty member is refused with the clash named"
O07,4,Onyx Campus,CMP-02a,CMP-02,Exam scheduling,Backend+Frontend,"Exam calendar with clash detection against timetables and other exams.",exams,CMP-01b,3,P0,"A learner is never scheduled for two exams at once"
O07,4,Onyx Campus,CMP-02b,CMP-02,Halls and seating plans,Backend+Frontend,"Hall capacity, seat allocation and printable seating plans and attendance sheets.",halls;seat_allocations,CMP-02a,4,P0,"Every candidate has exactly one seat and no seat is double-allocated"
O07,4,Onyx Campus,CMP-02c,CMP-02,Marks entry and transcripts,Backend+Frontend,"Marks entry with moderation, grade computation and transcript generation.",exam_marks;transcripts,CMP-02b,4,P0,"A transcript reconciles with the marks behind it, and generation is audited"
O07,4,Onyx Campus,CMP-03a,CMP-03,Fee structures and invoicing,Backend+Frontend,"Fee heads, per-programme structures, instalments, invoices and receipts.",fee_structures;invoices,F-04,4,P1,"An invoice's lines reconcile to the fee structure that produced it"
O07,4,Onyx Campus,CMP-03b,CMP-03,Online payment and reconciliation,Backend+Frontend,"Gateway payment against invoices with idempotent fulfilment and reconciliation reporting. Reuses the port's payment engine.",payments,CMP-03a,3,P1,"A replayed webhook never double-credits an invoice"
O07,4,Onyx Campus,CMP-04a,CMP-04,Parent and guardian portal,Backend+Frontend,"Guardian accounts linked to learners with attendance, results and fee visibility, plus notifications on key events.",guardians,CMP-02c,3,P2,"A guardian sees their own children only, and nothing a learner has not consented to share"
O08,4,Hardening,SEC-01,-,Tenant isolation audit,Security,"Adversarial cross-tenant testing across every route and table, plus an automated check in the gate.",-,F-02,3,P0,"A deliberate cross-tenant attempt fails on every route, and the check runs in CI"
O08,4,Hardening,SEC-02,-,Authorization matrix,Security,"Role-by-route matrix test for student, faculty, exams, placement, admin and guardian.",-,F-04,3,P0,"Every route has an asserted expectation for every role"
O08,4,Hardening,SEC-03,-,Accessibility to WCAG 2.2 AA,Frontend,"Keyboard support, visible focus, reduced-motion handling and contrast, with automated and manual audits.",-,F-07,4,P0,"Key journeys pass an automated audit and a keyboard-only walkthrough"
O08,4,Hardening,SCL-01,-,Queues and workers,Infra,"Grading, proctoring and notification work moved onto durable queues with retries, dead-letter handling and visibility.",-,LAB-02b,4,P0,"A worker crash loses no work; retries are bounded and observable"
O08,4,Hardening,SCL-02,-,Load testing to 1000 learners,QA,"Load test the assessment, attendance and Code Lab paths at the stated scale and fix what it finds.",-,SCL-01,4,P0,"1000 concurrent learners sustained within agreed latency targets"
O08,4,Hardening,SCL-03,-,Observability,Infra,"Structured logging, metrics, uptime checks and alerting on grading, proctoring and payment failures.",-,SCL-01,3,P0,"A failed grading run pages someone before a learner reports it"
O08,4,Hardening,DR-01,-,Backups and disaster recovery,Infra,"Backup schedule, restore rehearsal and a written recovery procedure for academic records.",-,SCL-03,3,P0,"A restore is rehearsed end to end and the RPO and RTO are measured, not assumed"
O08,4,Hardening,DOC-01,-,UAT and documentation,QA,"Role-based UAT scripts, administrator guide, ADR index and API documentation.",-,SEC-02,4,P0,"An institution can complete UAT without a developer in the room"
